block_code,inbound_factory,outbound_factory,inbound_date,outbound_date,length_m,width_m,height_m
B000030,1dock-P-no-2,2dock-f-no-1,2026-01-01,2026-01-06,7.6,17.5,11.1
B000031,1dock-P-no-2,wharf-f-no-1,2026-01-01,2026-01-06,6.4,12.3,3
B000032,1dock-P-no-7,2dock-f-no-1,2026-01-01,2026-01-06,7.7,14.9,8.2
B000033,2dock-P-no-2,wharf-f-no-5,2026-01-01,2026-01-06,5,13.9,3.6
B000034,e4-p-no-3,e4-f-no-4,2026-01-01,2026-01-06,12.5,17.5,7.6
B000035,texaco-p-no-1,wharf-f-no-3,2026-01-01,2026-01-06,5.9,13.4,6.6
B000036,1dock-P-no-2,2dock-f-no-2,2026-01-01,2026-01-07,3.8,10.6,5
B000037,1dock-P-no-7,2dock-f-no-2,2026-01-01,2026-01-11,6.9,17.1,6.8
B000038,e4-p-no-7,e4-f-no-5,2026-01-01,2026-01-15,19.3,11.5,4.6
B000039,1dock-P-no-2,e4-f-no-3,2026-01-02,2026-01-02,4.6,10.4,8
B000040,1dock-P-no-2,e4-f-no-4,2026-01-02,2026-01-02,8.1,12.7,16.2
B000041,1dock-P-no-3,e4-f-no-3,2026-01-02,2026-01-02,2.2,8.3,3.9
B000042,1dock-P-no-7,1dock-f-no-1,2026-01-02,2026-01-02,19.8,10.4,10.5
B000043,1dock-P-no-7,2dock-f-no-1,2026-01-02,2026-01-02,7.6,11.8,4.3
B000044,2dock-P-no-4,1dock-f-no-1,2026-01-02,2026-01-02,5.6,10.5,3.8
B000045,e4-p-no-1,e4-f-no-1,2026-01-02,2026-01-02,2,9.4,4.4
B000046,e4-p-no-7,1dock-f-no-1,2026-01-02,2026-01-02,4.9,9.3,4.5
B000047,texaco-p-no-3,1dock-f-no-1,2026-01-02,2026-01-02,21.5,9.6,10.4
B000048,1dock-P-no-1,wharf-f-no-3,2026-01-02,2026-01-03,7.3,18.6,5.1
B000049,1dock-P-no-1,wharf-f-no-4,2026-01-02,2026-01-03,6.3,7.9,4.3
B000050,1dock-P-no-2,wharf-f-no-5,2026-01-02,2026-01-03,7.1,14.8,4.9
B000051,1dock-P-no-2,wharf-f-no-4,2026-01-02,2026-01-03,4.7,10.9,3.9
B000052,1dock-P-no-2,wharf-f-no-1,2026-01-02,2026-01-03,7.7,14.2,11.7
B000053,1dock-P-no-7,wharf-f-no-5,2026-01-02,2026-01-03,14.1,20.7,5.5
B000054,2dock-P-no-2,e4-f-no-2,2026-01-02,2026-01-03,4.7,9,11
B000055,e4-p-no-7,e4-f-no-5,2026-01-02,2026-01-03,12.2,16,3.5
B000056,e4-p-no-9,1dock-f-no-1,2026-01-02,2026-01-03,4.3,9.6,3
B000057,texaco-p-no-1,texaco-f-no-3,2026-01-02,2026-01-03,6.8,15.4,8.2
B000058,texaco-p-no-4,texaco-f-no-3,2026-01-02,2026-01-03,19.5,11,10.4
B000059,texaco-p-no-8,texaco-f-no-2,2026-01-02,2026-01-03,7.9,14.7,3.1
B000060,texaco-p-no-3,wharf-f-no-2,2026-01-02,2026-01-04,5.9,13.6,6.1
B000061,1dock-P-no-2,texaco-f-no-2,2026-01-02,2026-01-05,4.8,10.9,5.3
B000062,2dock-P-no-2,2dock-f-no-2,2026-01-02,2026-01-05,11.4,17.1,5.5
B000063,2dock-P-no-2,1dock-f-no-1,2026-01-02,2026-01-05,6.1,12.5,5.7
B000064,e4-p-no-7,wharf-f-no-5,2026-01-02,2026-01-05,6.2,17.3,4.1
B000065,1dock-P-no-1,wharf-f-no-4,2026-01-02,2026-01-06,7.1,11.7,5.3
B000066,1dock-P-no-1,2dock-f-no-2,2026-01-02,2026-01-06,15.6,17.9,5.9
B000067,1dock-P-no-1,wharf-f-no-3,2026-01-02,2026-01-06,68.4,15.1,6.8
B000068,1dock-P-no-2,2dock-f-no-2,2026-01-02,2026-01-06,20.6,9.5,15.9
B000069,1dock-P-no-2,e4-f-no-4,2026-01-02,2026-01-06,10.7,20.8,4.4
B000070,1dock-P-no-7,e4-f-no-1,2026-01-02,2026-01-06,2.2,9.8,17.2
B000071,2dock-P-no-2,wharf-f-no-1,2026-01-02,2026-01-06,8.4,16.2,16.8
B000072,e4-p-no-1,e4-f-no-5,2026-01-02,2026-01-06,2.1,10.3,5.9
B000073,e4-p-no-5,e4-f-no-4,2026-01-02,2026-01-06,4.1,8.7,4.3
B000074,1dock-P-no-1,texaco-f-no-2,2026-01-02,2026-01-07,2,9.6,3.6
B000075,1dock-P-no-2,e4-f-no-3,2026-01-02,2026-01-07,5.7,10.1,5.2
B000076,2dock-P-no-1,1dock-f-no-1,2026-01-02,2026-01-07,4.4,10.4,8.9
B000077,2dock-P-no-2,e4-f-no-1,2026-01-02,2026-01-07,6.5,8.5,5
B000078,texaco-p-no-1,texaco-f-no-2,2026-01-02,2026-01-07,8.3,16.7,5.4
B000079,texaco-p-no-9,texaco-f-no-3,2026-01-02,2026-01-07,8.1,17.1,5.4
B000080,1dock-P-no-2,texaco-f-no-2,2026-01-02,2026-01-08,3.8,10.5,10.4
B000081,2dock-P-no-2,wharf-f-no-5,2026-01-02,2026-01-09,6.1,15.2,3.6
B000082,1dock-P-no-2,wharf-f-no-5,2026-01-03,2026-01-03,3.8,11.4,3.4
B000083,2dock-P-no-2,wharf-f-no-2,2026-01-03,2026-01-03,3.3,9.1,7.7
B000084,texaco-p-no-5,wharf-f-no-5,2026-01-03,2026-01-03,8.1,19.3,3.4
B000085,1dock-P-no-1,2dock-f-no-1,2026-01-03,2026-01-04,4.3,11,5.8
B000086,1dock-P-no-2,1dock-f-no-1,2026-01-03,2026-01-04,13.1,20,6.8
B000087,1dock-P-no-2,2dock-f-no-2,2026-01-03,2026-01-04,20.1,11.6,4.1
B000088,1dock-P-no-3,wharf-f-no-2,2026-01-03,2026-01-04,11.3,16.3,4.3
B000089,e4-p-no-1,wharf-f-no-4,2026-01-03,2026-01-04,7.2,12.1,6
B000090,texaco-p-no-2,1dock-f-no-1,2026-01-03,2026-01-04,6,8.1,5.4
B000091,texaco-p-no-9,1dock-f-no-1,2026-01-03,2026-01-04,17.9,10.1,6
B000092,1dock-P-no-2,1dock-f-no-1,2026-01-03,2026-01-05,8,15.2,8.9
B000093,2dock-P-no-3,wharf-f-no-4,2026-01-03,2026-01-05,6.4,16.7,4.3
B000094,1dock-P-no-2,texaco-f-no-3,2026-01-03,2026-01-06,7.6,10.5,5.7
B000095,1dock-P-no-2,wharf-f-no-4,2026-01-03,2026-01-06,16.4,11.2,5
B000096,2dock-P-no-5,wharf-f-no-2,2026-01-03,2026-01-06,13.3,16.6,7.9
B000097,e4-p-no-1,e4-f-no-5,2026-01-03,2026-01-06,20.6,11.5,5.5
B000098,texaco-p-no-9,texaco-f-no-1,2026-01-03,2026-01-06,5.2,9.4,3.3
B000099,1dock-P-no-1,texaco-f-no-2,2026-01-03,2026-01-07,5.3,8.3,3.8
B000100,1dock-P-no-2,e4-f-no-2,2026-01-03,2026-01-07,6,8.1,4.9
B000101,1dock-P-no-2,e4-f-no-1,2026-01-03,2026-01-07,14.5,18.4,3.6
B000102,1dock-P-no-2,1dock-f-no-1,2026-01-03,2026-01-07,5.2,8.4,5
B000103,e4-p-no-1,e4-f-no-4,2026-01-03,2026-01-07,5.8,9.3,5.8
B000104,e4-p-no-7,1dock-f-no-1,2026-01-03,2026-01-07,66.9,16.6,3.8
B000105,e4-p-no-7,texaco-f-no-2,2026-01-03,2026-01-07,79.9,17.1,4.2
B000106,e4-p-no-9,e4-f-no-1,2026-01-03,2026-01-07,15.6,9.8,10.4
B000107,1dock-P-no-2,e4-f-no-3,2026-01-03,2026-01-08,69.3,16.6,6.2
B000108,1dock-P-no-2,wharf-f-no-4,2026-01-03,2026-01-08,6.7,8.7,11.5
B000109,2dock-P-no-1,e4-f-no-5,2026-01-03,2026-01-08,78.9,15.1,4
B000110,1dock-P-no-2,texaco-f-no-3,2026-01-03,2026-01-09,11,16.6,4.9
B000111,2dock-P-no-2,e4-f-no-2,2026-01-03,2026-01-09,75.4,15.5,4.5
B000112,texaco-p-no-1,wharf-f-no-1,2026-01-03,2026-01-09,5.2,10.1,3.7
B000113,texaco-p-no-1,e4-f-no-5,2026-01-03,2026-01-09,19.6,10.8,5.5
B000114,1dock-P-no-2,2dock-f-no-2,2026-01-03,2026-01-12,20.6,9.4,4.4
B000115,1dock-P-no-2,texaco-f-no-2,2026-01-03,2026-01-20,3.7,9.5,5.9
B000116,1dock-P-no-7,2dock-f-no-1,2026-01-04,2026-01-04,8.2,12.1,3.4
B000117,e4-p-no-8,2dock-f-no-1,2026-01-04,2026-01-04,2,7.8,4.5
B000118,1dock-P-no-1,wharf-f-no-1,2026-01-04,2026-01-05,7.9,19,3.5
B000119,1dock-P-no-2,texaco-f-no-2,2026-01-04,2026-01-05,11.1,17.1,3.6
B000120,1dock-P-no-7,texaco-f-no-1,2026-01-04,2026-01-05,12.6,17.1,4.6
B000121,e4-p-no-2,wharf-f-no-2,2026-01-04,2026-01-05,5,13.8,3.9
B000122,1dock-P-no-2,wharf-f-no-4,2026-01-04,2026-01-06,5.8,13.9,9
B000123,1dock-P-no-7,1dock-f-no-1,2026-01-04,2026-01-06,3.3,10.5,6
B000124,e4-p-no-2,e4-f-no-3,2026-01-04,2026-01-07,6.7,10.2,11.8
B000125,e4-p-no-5,wharf-f-no-2,2026-01-04,2026-01-07,4.5,8,4.7
B000126,texaco-p-no-8,e4-f-no-1,2026-01-04,2026-01-07,4.2,9.1,5.2
B000127,1dock-P-no-2,e4-f-no-1,2026-01-04,2026-01-08,7.7,16.3,5.3
B000128,1dock-P-no-2,2dock-f-no-1,2026-01-04,2026-01-08,2,9.6,5.8
B000129,1dock-P-no-1,texaco-f-no-2,2026-01-04,2026-01-09,12.8,20.3,5.6
B000130,1dock-P-no-2,wharf-f-no-2,2026-01-04,2026-01-09,66.4,14.2,5
B000131,e4-p-no-2,wharf-f-no-2,2026-01-04,2026-01-09,7.4,12.1,5.1
B000132,1dock-P-no-2,texaco-f-no-3,2026-01-04,2026-01-11,5.7,10.8,5.5
B000133,1dock-P-no-2,1dock-f-no-1,2026-01-05,2026-01-05,6.9,14,17.5
B000134,1dock-P-no-7,2dock-f-no-1,2026-01-05,2026-01-05,6,8,3.4
B000135,2dock-P-no-1,wharf-f-no-2,2026-01-05,2026-01-05,21.1,11.4,4.5
B000136,1dock-P-no-2,1dock-f-no-1,2026-01-05,2026-01-06,6,11.7,10.2
B000137,1dock-P-no-7,2dock-f-no-2,2026-01-05,2026-01-06,6,18,4.6
B000138,2dock-P-no-1,wharf-f-no-1,2026-01-05,2026-01-06,7.1,11.6,3.7
B000139,2dock-P-no-2,e4-f-no-1,2026-01-05,2026-01-06,7.6,13.3,5.7
B000140,e4-p-no-1,e4-f-no-1,2026-01-05,2026-01-06,2,8.8,4.6
B000141,e4-p-no-4,e4-f-no-1,2026-01-05,2026-01-06,7.5,11.1,5.3
B000142,e4-p-no-8,2dock-f-no-1,2026-01-05,2026-01-06,4.6,10.4,3.3
B000143,texaco-p-no-7,texaco-f-no-3,2026-01-05,2026-01-06,70.9,17.1,12.4
B000144,1dock-P-no-1,1dock-f-no-1,2026-01-05,2026-01-07,20.4,9.9,5
B000145,1dock-P-no-1,e4-f-no-4,2026-01-05,2026-01-07,2.2,10.2,5.3
B000146,1dock-P-no-2,wharf-f-no-1,2026-01-05,2026-01-07,6.1,9.4,3.8
B000147,e4-p-no-3,wharf-f-no-4,2026-01-05,2026-01-07,4.8,9.8,3.8
B000148,1dock-P-no-1,e4-f-no-2,2026-01-05,2026-01-08,3.8,9.6,9
B000149,1dock-P-no-1,wharf-f-no-2,2026-01-05,2026-01-08,5.2,8.2,4.4
B000150,1dock-P-no-1,e4-f-no-1,2026-01-05,2026-01-08,6,12,13
B000151,1dock-P-no-2,wharf-f-no-2,2026-01-05,2026-01-08,2.3,9,5
B000152,1dock-P-no-4,wharf-f-no-2,2026-01-05,2026-01-08,7.2,15.2,3.6
B000153,1dock-P-no-7,1dock-f-no-1,2026-01-05,2026-01-08,70,15.3,4.5
B000154,2dock-P-no-1,wharf-f-no-4,2026-01-05,2026-01-08,6,17.1,5
B000155,2dock-P-no-2,2dock-f-no-2,2026-01-05,2026-01-08,65.2,16.6,5.2
B000156,e4-p-no-1,wharf-f-no-2,2026-01-05,2026-01-08,7.6,17.7,11.1
B000157,e4-p-no-4,e4-f-no-4,2026-01-05,2026-01-08,6.4,7.9,3.9
B000158,1dock-P-no-1,1dock-f-no-1,2026-01-05,2026-01-09,4.6,11.2,5.4
B000159,1dock-P-no-2,wharf-f-no-4,2026-01-05,2026-01-09,6.1,8.6,5.6
B000160,1dock-P-no-2,2dock-f-no-1,2026-01-05,2026-01-09,4.6,10.5,4.6
B000161,1dock-P-no-7,1dock-f-no-1,2026-01-05,2026-01-09,68.6,16.4,5.1
B000162,1dock-P-no-7,1dock-f-no-1,2026-01-05,2026-01-09,20.5,9.7,5.4
B000163,1dock-P-no-7,texaco-f-no-2,2026-01-05,2026-01-09,7.3,14.7,5.6
B000164,2dock-P-no-1,e4-f-no-2,2026-01-05,2026-01-09,6.1,14.2,7.7
B000165,2dock-P-no-1,wharf-f-no-1,2026-01-05,2026-01-09,5.1,13.9,3
B000166,2dock-P-no-1,e4-f-no-2,2026-01-05,2026-01-09,4.5,8.7,8.2
B000167,2dock-P-no-2,wharf-f-no-5,2026-01-05,2026-01-09,4.7,10.1,11.7
B000168,e4-p-no-9,e4-f-no-4,2026-01-05,2026-01-09,21.5,10.6,3.9
B000169,texaco-p-no-1,1dock-f-no-1,2026-01-05,2026-01-09,2.2,9.2,4.1
B000170,texaco-p-no-8,wharf-f-no-4,2026-01-05,2026-01-09,7.7,10.5,3.4
B000171,1dock-P-no-1,1dock-f-no-1,2026-01-05,2026-01-10,2,9.6,4.2
B000172,1dock-P-no-2,2dock-f-no-2,2026-01-05,2026-01-10,4.2,11.6,4.3
B000173,1dock-P-no-2,wharf-f-no-4,2026-01-05,2026-01-10,64.3,16.9,9.7
B000174,1dock-P-no-2,1dock-f-no-1,2026-01-05,2026-01-10,6.8,18.2,3.8
B000175,1dock-P-no-2,wharf-f-no-2,2026-01-05,2026-01-10,8.2,16.3,3.4
B000176,1dock-P-no-2,texaco-f-no-2,2026-01-05,2026-01-10,15.1,19.6,6
B000177,1dock-P-no-7,wharf-f-no-2,2026-01-05,2026-01-10,3.4,11,4.4
B000178,1dock-P-no-7,wharf-f-no-3,2026-01-05,2026-01-10,6.8,16.1,4.5
B000179,2dock-P-no-1,1dock-f-no-1,2026-01-05,2026-01-10,13.8,19.2,4.2
B000180,1dock-P-no-2,e4-f-no-5,2026-01-05,2026-01-11,2,9.3,6.1
B000181,2dock-P-no-2,texaco-f-no-1,2026-01-05,2026-01-11,13.7,17.5,6.1
B000182,texaco-p-no-1,texaco-f-no-1,2026-01-05,2026-01-11,6.8,14.5,4.2
B000183,texaco-p-no-8,2dock-f-no-1,2026-01-05,2026-01-11,70,14.8,5.6
B000184,1dock-P-no-2,wharf-f-no-1,2026-01-05,2026-01-12,12.9,16,5.4
B000185,1dock-P-no-2,e4-f-no-3,2026-01-05,2026-01-13,11.3,16,3.3
B000186,1dock-P-no-7,2dock-f-no-2,2026-01-05,2026-01-15,4.8,11.5,11.7
B000187,1dock-P-no-2,wharf-f-no-5,2026-01-05,2026-01-29,4.5,10.9,5.1
B000188,1dock-P-no-2,2dock-f-no-2,2026-01-06,2026-01-06,6.8,11.4,6.2
B000189,2dock-P-no-2,1dock-f-no-1,2026-01-06,2026-01-06,6.4,13.6,5.4
B000190,e4-p-no-1,1dock-f-no-1,2026-01-06,2026-01-06,7.1,17,4.5
B000191,1dock-P-no-1,wharf-f-no-1,2026-01-06,2026-01-07,4.5,10.4,4.1
B000192,1dock-P-no-1,wharf-f-no-2,2026-01-06,2026-01-07,5.3,12.8,3.8
B000193,1dock-P-no-1,e4-f-no-4,2026-01-06,2026-01-07,4.3,10.9,6.7
B000194,1dock-P-no-7,wharf-f-no-3,2026-01-06,2026-01-07,8.1,13.7,7.9
B000195,e4-p-no-7,e4-f-no-1,2026-01-06,2026-01-07,61.3,17.6,9.4
B000196,1dock-P-no-2,2dock-f-no-2,2026-01-06,2026-01-08,4.3,9.8,14.6
B000197,texaco-p-no-9,1dock-f-no-1,2026-01-06,2026-01-08,12.4,17.2,6.1
B000198,1dock-P-no-2,wharf-f-no-2,2026-01-06,2026-01-09,5.1,9.9,7.7
B000199,1dock-P-no-2,1dock-f-no-1,2026-01-06,2026-01-09,2.4,8.3,4.6
B000200,1dock-P-no-2,wharf-f-no-4,2026-01-06,2026-01-09,19.5,8.8,12.9
B000201,1dock-P-no-7,wharf-f-no-3,2026-01-06,2026-01-09,18.5,10.3,3.6
B000202,2dock-P-no-1,wharf-f-no-5,2026-01-06,2026-01-09,76.1,14.1,10.3
B000203,2dock-P-no-5,wharf-f-no-4,2026-01-06,2026-01-09,5.1,9.5,4.2
B000204,texaco-p-no-1,texaco-f-no-3,2026-01-06,2026-01-09,7.7,13,10.8
B000205,texaco-p-no-5,wharf-f-no-3,2026-01-06,2026-01-09,70.4,17,6.7
B000206,1dock-P-no-1,texaco-f-no-2,2026-01-06,2026-01-10,13,17.3,9.3
B000207,1dock-P-no-2,wharf-f-no-2,2026-01-06,2026-01-10,4.6,10.6,6.6
B000208,1dock-P-no-2,wharf-f-no-4,2026-01-06,2026-01-10,4.2,8.3,4.7
B000209,1dock-P-no-2,wharf-f-no-1,2026-01-06,2026-01-10,3.9,8.9,4.8
B000210,e4-p-no-1,2dock-f-no-1,2026-01-06,2026-01-10,4.3,10.1,5.9
B000211,e4-p-no-8,e4-f-no-1,2026-01-06,2026-01-10,8.2,15.4,9.5
B000212,texaco-p-no-1,texaco-f-no-2,2026-01-06,2026-01-10,4.5,9.3,8.8
B000213,texaco-p-no-1,texaco-f-no-3,2026-01-06,2026-01-10,5.5,9.4,13.3
B000214,texaco-p-no-1,wharf-f-no-1,2026-01-06,2026-01-10,2,10.3,5.7
B000215,texaco-p-no-1,texaco-f-no-3,2026-01-06,2026-01-10,82.3,15.4,4.5
B000216,1dock-P-no-2,wharf-f-no-2,2026-01-06,2026-01-11,5.8,12.1,4.4
B000217,1dock-P-no-2,wharf-f-no-3,2026-01-06,2026-01-11,10.9,20.8,9.4
B000218,texaco-p-no-3,texaco-f-no-2,2026-01-06,2026-01-11,6.4,11.3,3
B000219,texaco-p-no-6,e4-f-no-2,2026-01-06,2026-01-11,8,12.4,11.3
B000220,2dock-P-no-2,e4-f-no-3,2026-01-06,2026-01-13,7.3,11.4,6.1
B000221,texaco-p-no-1,texaco-f-no-2,2026-01-06,2026-01-19,4.5,9.9,4.9
B000222,texaco-p-no-1,texaco-f-no-2,2026-01-06,2026-01-19,4,9.1,9.9
B000223,1dock-P-no-2,wharf-f-no-4,2026-01-07,2026-01-07,15.6,18,3.1
B000224,1dock-P-no-2,wharf-f-no-3,2026-01-07,2026-01-08,2,7.7,4.1
B000225,1dock-P-no-2,2dock-f-no-1,2026-01-07,2026-01-08,6.4,13.8,4.8
B000226,1dock-P-no-2,2dock-f-no-2,2026-01-07,2026-01-08,6.1,8.8,5.4
B000227,1dock-P-no-2,wharf-f-no-4,2026-01-07,2026-01-08,7.9,19.4,4
B000228,2dock-P-no-1,2dock-f-no-2,2026-01-07,2026-01-08,68.2,14.8,6.4
B000229,1dock-P-no-2,wharf-f-no-1,2026-01-07,2026-01-09,6.3,10.2,5.5
B000230,texaco-p-no-1,wharf-f-no-1,2026-01-07,2026-01-09,6.9,10.2,6.2
B000231,texaco-p-no-4,texaco-f-no-1,2026-01-07,2026-01-09,3.6,10,4.6
B000232,1dock-P-no-1,e4-f-no-1,2026-01-07,2026-01-10,7.8,10.4,4.3
B000233,2dock-P-no-1,2dock-f-no-1,2026-01-07,2026-01-10,7.7,12.2,4.9
B000234,e4-p-no-2,wharf-f-no-1,2026-01-07,2026-01-10,4.6,9.7,5.4
B000235,texaco-p-no-8,e4-f-no-2,2026-01-07,2026-01-10,7.4,11.5,4.7
B000236,1dock-P-no-1,wharf-f-no-1,2026-01-07,2026-01-11,12,20.2,9.9
B000237,1dock-P-no-1,e4-f-no-1,2026-01-07,2026-01-11,15.6,8.9,5.9
B000238,1dock-P-no-1,wharf-f-no-4,2026-01-07,2026-01-11,2,9.6,3.7
B000239,1dock-P-no-2,wharf-f-no-3,2026-01-07,2026-01-11,13.6,18.7,4.6
B000240,1dock-P-no-2,1dock-f-no-1,2026-01-07,2026-01-11,7.5,10.7,4.3
B000241,1dock-P-no-7,wharf-f-no-2,2026-01-07,2026-01-11,4.8,8.1,5.7
B000242,e4-p-no-5,texaco-f-no-2,2026-01-07,2026-01-11,5.2,7.8,5.1
B000243,1dock-P-no-1,wharf-f-no-4,2026-01-07,2026-01-12,7.2,11.4,3.5
B000244,texaco-p-no-1,texaco-f-no-2,2026-01-07,2026-01-12,18.2,9.4,4.4
B000245,2dock-P-no-2,e4-f-no-5,2026-01-07,2026-01-14,7.4,15.7,3.1
B000246,1dock-P-no-1,1dock-f-no-1,2026-01-07,2026-01-17,77.1,16.5,11.2
B000247,e4-p-no-3,e4-f-no-5,2026-01-07,2026-01-17,15.5,16.6,4
B000248,1dock-P-no-2,2dock-f-no-1,2026-01-08,2026-01-08,20.1,9.7,5.6
B000249,e4-p-no-1,e4-f-no-1,2026-01-08,2026-01-08,7.7,10.8,5.9
B000250,1dock-P-no-1,2dock-f-no-2,2026-01-08,2026-01-09,5.8,10,10.6
B000251,1dock-P-no-2,texaco-f-no-1,2026-01-08,2026-01-09,5.1,10.4,6.6
B000252,1dock-P-no-2,wharf-f-no-1,2026-01-08,2026-01-09,15,19.9,9.7
B000253,1dock-P-no-6,e4-f-no-2,2026-01-08,2026-01-09,14,16.1,11.7
B000254,2dock-P-no-2,wharf-f-no-4,2026-01-08,2026-01-09,3.4,8.7,4.2
B000255,e4-p-no-9,e4-f-no-2,2026-01-08,2026-01-09,83.7,16,5
B000256,texaco-p-no-4,wharf-f-no-3,2026-01-08,2026-01-09,6.9,16.7,3.3
B000257,texaco-p-no-7,texaco-f-no-3,2026-01-08,2026-01-09,21.6,10.3,10.5
B000258,texaco-p-no-9,texaco-f-no-3,2026-01-08,2026-01-09,4.5,9.7,5.3
B000259,2dock-P-no-1,e4-f-no-4,2026-01-08,2026-01-10,65.7,14.2,3.6
B000260,1dock-P-no-1,wharf-f-no-1,2026-01-08,2026-01-11,4.8,10.4,4.8
B000261,1dock-P-no-2,wharf-f-no-3,2026-01-08,2026-01-11,6.8,8.9,3.8
B000262,2dock-P-no-1,wharf-f-no-2,2026-01-08,2026-01-11,8.2,17.2,5.9
B000263,2dock-P-no-3,2dock-f-no-2,2026-01-08,2026-01-11,8.1,12,5.5
B000264,e4-p-no-1,wharf-f-no-5,2026-01-08,2026-01-11,12.1,19.5,4.8
B000265,texaco-p-no-4,wharf-f-no-2,2026-01-08,2026-01-11,14.4,17.8,4.4
B000266,1dock-P-no-1,1dock-f-no-1,2026-01-08,2026-01-12,7.6,13.3,6.2
B000267,1dock-P-no-1,2dock-f-no-1,2026-01-08,2026-01-12,4.7,10.5,11.1
B000268,1dock-P-no-2,2dock-f-no-1,2026-01-08,2026-01-12,13.7,19.4,3.6
B000269,1dock-P-no-2,e4-f-no-5,2026-01-08,2026-01-12,2.3,9.2,6.4
B000270,1dock-P-no-2,texaco-f-no-1,2026-01-08,2026-01-12,4.3,11.2,14.2
B000271,1dock-P-no-2,1dock-f-no-1,2026-01-08,2026-01-12,5.5,8.2,3.2
B000272,1dock-P-no-7,2dock-f-no-1,2026-01-08,2026-01-12,6.7,14.9,6.1
B000273,2dock-P-no-1,texaco-f-no-3,2026-01-08,2026-01-12,8.2,19.1,5.3
B000274,2dock-P-no-1,wharf-f-no-5,2026-01-08,2026-01-12,60.8,14.2,4.3
B000275,2dock-P-no-1,e4-f-no-1,2026-01-08,2026-01-12,7.3,14.5,5.7
B000276,2dock-P-no-2,1dock-f-no-1,2026-01-08,2026-01-12,13.6,16.4,6.9
B000277,e4-p-no-6,e4-f-no-2,2026-01-08,2026-01-12,6.3,8.5,12
B000278,texaco-p-no-3,texaco-f-no-2,2026-01-08,2026-01-12,12.4,18.2,3.5
B000279,texaco-p-no-7,e4-f-no-3,2026-01-08,2026-01-12,57.7,16,3.9
B000280,1dock-P-no-1,wharf-f-no-1,2026-01-08,2026-01-13,6.3,13.4,5
B000281,1dock-P-no-2,texaco-f-no-3,2026-01-08,2026-01-13,5.1,10.4,5.4
B000282,1dock-P-no-2,wharf-f-no-2,2026-01-08,2026-01-13,13.8,18.9,7.3
B000283,1dock-P-no-2,wharf-f-no-2,2026-01-08,2026-01-13,19.5,9,6.1
B000284,2dock-P-no-2,texaco-f-no-3,2026-01-08,2026-01-13,11.3,17.7,10.9
