yard_code,yard_zone,process_code,process_zone,process_type,yard_lat,yard_lon,process_lat,process_lon,l2_distance_m,baseline_travel_time_min
1dock-s-no-1,1dock,e4-p-no-1,E4,도장공장,34.869000,128.694400,34.877900,128.719500,2494.5,9.98
1dock-s-no-1,1dock,e4-p-no-2,E4,도장공장,34.869000,128.694400,34.878200,128.720000,2549.6,10.2
1dock-s-no-1,1dock,e4-p-no-3,E4,도장공장,34.869000,128.694400,34.879200,128.721000,2678.6,10.71
1dock-s-no-1,1dock,e4-p-no-4,E4,도장공장,34.869000,128.694400,34.879400,128.719800,2589.7,10.36
1dock-s-no-1,1dock,e4-p-no-5,E4,도장공장,34.869000,128.694400,34.879100,128.718700,2485.1,9.94
1dock-s-no-1,1dock,e4-p-no-6,E4,도장공장,34.869000,128.694400,34.879500,128.719300,2554,10.22
1dock-s-no-1,1dock,e4-p-no-7,E4,도장공장,34.869000,128.694400,34.879800,128.719900,2618,10.47
1dock-s-no-1,1dock,e4-p-no-8,E4,도장공장,34.869000,128.694400,34.880300,128.720700,2708.4,10.83
1dock-s-no-1,1dock,e4-p-no-9,E4,도장공장,34.869000,128.694400,34.880300,128.718500,2532.3,10.13
1dock-s-no-1,1dock,e4-f-no-1,E4,의장공장,34.869000,128.694400,34.874400,128.719000,2323.1,9.29
1dock-s-no-1,1dock,e4-f-no-2,E4,의장공장,34.869000,128.694400,34.874500,128.719200,2343.6,9.37
1dock-s-no-1,1dock,e4-f-no-3,E4,의장공장,34.869000,128.694400,34.874700,128.719200,2349.5,9.4
1dock-s-no-1,1dock,e4-f-no-4,E4,의장공장,34.869000,128.694400,34.874800,128.719200,2352.6,9.41
1dock-s-no-1,1dock,e4-f-no-5,E4,의장공장,34.869000,128.694400,34.875200,128.719500,2391.3,9.57
1dock-s-no-2,1dock,1dock-P-no-1,1dock,도장공장,34.871300,128.696800,34.869100,128.693200,409.5,1.64
1dock-s-no-2,1dock,1dock-P-no-2,1dock,도장공장,34.871300,128.696800,34.870500,128.693100,349.1,1.4
1dock-s-no-2,1dock,1dock-P-no-3,1dock,도장공장,34.871300,128.696800,34.871100,128.692400,402,1.61
1dock-s-no-2,1dock,1dock-P-no-4,1dock,도장공장,34.871300,128.696800,34.872100,128.694800,203,0.81
1dock-s-no-2,1dock,1dock-P-no-5,1dock,도장공장,34.871300,128.696800,34.872900,128.695400,219,0.88
1dock-s-no-2,1dock,1dock-P-no-6,1dock,도장공장,34.871300,128.696800,34.871800,128.692800,369.1,1.48
1dock-s-no-2,1dock,1dock-P-no-7,1dock,도장공장,34.871300,128.696800,34.873500,128.694400,328.3,1.31
1dock-s-no-2,1dock,1dock-f-no-1,1dock,의장공장,34.871300,128.696800,34.876350,128.702080,739.8,2.96
1dock-s-no-2,1dock,2dock-f-no-1,1dock,의장공장,34.871300,128.696800,34.875200,128.701000,578.7,2.31
1dock-s-no-2,1dock,2dock-f-no-2,1dock,의장공장,34.871300,128.696800,34.876400,128.702300,757.2,3.03
1dock-s-no-2,1dock,2dock-P-no-1,2dock,도장공장,34.871300,128.696800,34.873900,128.705400,836.1,3.34
1dock-s-no-2,1dock,2dock-P-no-2,2dock,도장공장,34.871300,128.696800,34.874300,128.703700,712.4,2.85
1dock-s-no-2,1dock,2dock-P-no-3,2dock,도장공장,34.871300,128.696800,34.875200,128.704600,833.3,3.33
1dock-s-no-2,1dock,2dock-P-no-4,2dock,도장공장,34.871300,128.696800,34.875800,128.705300,922.9,3.69
1dock-s-no-2,1dock,2dock-P-no-5,2dock,도장공장,34.871300,128.696800,34.875400,128.706300,979.3,3.92
1dock-s-no-2,1dock,wharf-f-no-1,내업/하역안벽 권역,의장공장,34.871300,128.696800,34.869100,128.697000,245.3,0.98
1dock-s-no-2,1dock,wharf-f-no-2,내업/하역안벽 권역,의장공장,34.871300,128.696800,34.870600,128.696800,77.8,0.31
1dock-s-no-2,1dock,wharf-f-no-3,내업/하역안벽 권역,의장공장,34.871300,128.696800,34.870400,128.697600,123.9,0.5
1dock-s-no-2,1dock,wharf-f-no-4,내업/하역안벽 권역,의장공장,34.871300,128.696800,34.870700,128.697800,113,0.45
1dock-s-no-2,1dock,wharf-f-no-5,내업/하역안벽 권역,의장공장,34.871300,128.696800,34.871700,128.704300,685.6,2.74
1dock-s-no-2,1dock,texaco-f-no-1,GBS/Texaco/E1 권역,의장공장,34.871300,128.696800,34.863100,128.706900,1296.3,5.19
1dock-s-no-2,1dock,texaco-f-no-2,GBS/Texaco/E1 권역,의장공장,34.871300,128.696800,34.863600,128.707100,1271.2,5.08
1dock-s-no-2,1dock,texaco-f-no-3,GBS/Texaco/E1 권역,의장공장,34.871300,128.696800,34.868800,128.706900,962.4,3.85
1dock-s-no-2,1dock,texaco-p-no-1,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.862700,128.708300,1419.5,5.68
1dock-s-no-2,1dock,texaco-p-no-2,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.862500,128.708700,1461.5,5.85
1dock-s-no-2,1dock,texaco-p-no-3,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.864200,128.708300,1313,5.25
1dock-s-no-2,1dock,texaco-p-no-4,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.863300,128.709900,1489.8,5.96
1dock-s-no-2,1dock,texaco-p-no-5,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.866500,128.706900,1064.8,4.26
1dock-s-no-2,1dock,texaco-p-no-6,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.865700,128.708100,1204.3,4.82
1dock-s-no-2,1dock,texaco-p-no-7,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.866900,128.708100,1141.1,4.56
1dock-s-no-2,1dock,texaco-p-no-8,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.866400,128.708700,1214.7,4.86
1dock-s-no-2,1dock,texaco-p-no-9,GBS/Texaco/E1 권역,도장공장,34.871300,128.696800,34.868700,128.706900,965.7,3.86
1dock-s-no-2,1dock,e4-p-no-1,E4,도장공장,34.871300,128.696800,34.877900,128.719500,2197,8.79
1dock-s-no-2,1dock,e4-p-no-2,E4,도장공장,34.871300,128.696800,34.878200,128.720000,2251.2,9
1dock-s-no-2,1dock,e4-p-no-3,E4,도장공장,34.871300,128.696800,34.879200,128.721000,2376,9.5
1dock-s-no-2,1dock,e4-p-no-4,E4,도장공장,34.871300,128.696800,34.879400,128.719800,2283.4,9.13
1dock-s-no-2,1dock,e4-p-no-5,E4,도장공장,34.871300,128.696800,34.879100,128.718700,2178,8.71
1dock-s-no-2,1dock,e4-p-no-6,E4,도장공장,34.871300,128.696800,34.879500,128.719300,2246,8.98
1dock-s-no-2,1dock,e4-p-no-7,E4,도장공장,34.871300,128.696800,34.879800,128.719900,2309.6,9.24
1dock-s-no-2,1dock,e4-p-no-8,E4,도장공장,34.871300,128.696800,34.880300,128.720700,2399,9.6
1dock-s-no-2,1dock,e4-p-no-9,E4,도장공장,34.871300,128.696800,34.880300,128.718500,2218.2,8.87
1dock-s-no-2,1dock,e4-f-no-1,E4,의장공장,34.871300,128.696800,34.874400,128.719000,2054.4,8.22
1dock-s-no-2,1dock,e4-f-no-2,E4,의장공장,34.871300,128.696800,34.874500,128.719200,2074.2,8.3
1dock-s-no-2,1dock,e4-f-no-3,E4,의장공장,34.871300,128.696800,34.874700,128.719200,2078.2,8.31
1dock-s-no-2,1dock,e4-f-no-4,E4,의장공장,34.871300,128.696800,34.874800,128.719200,2080.2,8.32
1dock-s-no-2,1dock,e4-f-no-5,E4,의장공장,34.871300,128.696800,34.875200,128.719500,2115.8,8.46
1dock-s-no-3,1dock,1dock-P-no-1,1dock,도장공장,34.875190,128.696680,34.869100,128.693200,747.9,2.99
1dock-s-no-3,1dock,1dock-P-no-2,1dock,도장공장,34.875190,128.696680,34.870500,128.693100,615.3,2.46
1dock-s-no-3,1dock,1dock-P-no-3,1dock,도장공장,34.875190,128.696680,34.871100,128.692400,599.4,2.4
1dock-s-no-3,1dock,1dock-P-no-4,1dock,도장공장,34.875190,128.696680,34.872100,128.694800,384,1.54
1dock-s-no-3,1dock,1dock-P-no-5,1dock,도장공장,34.875190,128.696680,34.872900,128.695400,280.1,1.12
1dock-s-no-3,1dock,1dock-P-no-6,1dock,도장공장,34.875190,128.696680,34.871800,128.692800,517.1,2.07
1dock-s-no-3,1dock,1dock-P-no-7,1dock,도장공장,34.875190,128.696680,34.873500,128.694400,280.3,1.12
1dock-s-no-3,1dock,1dock-f-no-1,1dock,의장공장,34.875190,128.696680,34.876350,128.702080,509.2,2.04
1dock-s-no-3,1dock,2dock-f-no-1,1dock,의장공장,34.875190,128.696680,34.875200,128.701000,394.1,1.58
1dock-s-no-3,1dock,2dock-f-no-2,1dock,의장공장,34.875190,128.696680,34.876400,128.702300,530.1,2.12
1dock-s-no-3,1dock,2dock-P-no-1,2dock,도장공장,34.875190,128.696680,34.873900,128.705400,808.3,3.23
1dock-s-no-3,1dock,2dock-P-no-2,2dock,도장공장,34.875190,128.696680,34.874300,128.703700,648,2.59
1dock-s-no-3,1dock,2dock-P-no-3,2dock,도장공장,34.875190,128.696680,34.875200,128.704600,722.5,2.89
1dock-s-no-3,1dock,2dock-P-no-4,2dock,도장공장,34.875190,128.696680,34.875800,128.705300,789.3,3.16
1dock-s-no-3,1dock,2dock-P-no-5,2dock,도장공장,34.875190,128.696680,34.875400,128.706300,877.9,3.51
1dock-s-no-3,1dock,wharf-f-no-1,내업/하역안벽 권역,의장공장,34.875190,128.696680,34.869100,128.697000,677.8,2.71
1dock-s-no-3,1dock,wharf-f-no-2,내업/하역안벽 권역,의장공장,34.875190,128.696680,34.870600,128.696800,510.5,2.04
1dock-s-no-3,1dock,wharf-f-no-3,내업/하역안벽 권역,의장공장,34.875190,128.696680,34.870400,128.697600,539.2,2.16
1dock-s-no-3,1dock,wharf-f-no-4,내업/하역안벽 권역,의장공장,34.875190,128.696680,34.870700,128.697800,509.6,2.04
1dock-s-no-3,1dock,wharf-f-no-5,내업/하역안벽 권역,의장공장,34.875190,128.696680,34.871700,128.704300,796.1,3.18
1dock-s-no-3,1dock,texaco-f-no-1,GBS/Texaco/E1 권역,의장공장,34.875190,128.696680,34.863100,128.706900,1636,6.54
1dock-s-no-3,1dock,texaco-f-no-2,GBS/Texaco/E1 권역,의장공장,34.875190,128.696680,34.863600,128.707100,1601.4,6.41
1dock-s-no-3,1dock,texaco-f-no-3,GBS/Texaco/E1 권역,의장공장,34.875190,128.696680,34.868800,128.706900,1172.2,4.69
1dock-s-no-3,1dock,texaco-p-no-1,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.862700,128.708300,1747.2,6.99
1dock-s-no-3,1dock,texaco-p-no-2,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.862500,128.708700,1787,7.15
1dock-s-no-3,1dock,texaco-p-no-3,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.864200,128.708300,1617.7,6.47
1dock-s-no-3,1dock,texaco-p-no-4,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.863300,128.709900,1789.5,7.16
1dock-s-no-3,1dock,texaco-p-no-5,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.866500,128.706900,1342.7,5.37
1dock-s-no-3,1dock,texaco-p-no-6,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.865700,128.708100,1482.9,5.93
1dock-s-no-3,1dock,texaco-p-no-7,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.866900,128.708100,1391.1,5.56
1dock-s-no-3,1dock,texaco-p-no-8,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.866400,128.708700,1468.9,5.88
1dock-s-no-3,1dock,texaco-p-no-9,GBS/Texaco/E1 권역,도장공장,34.875190,128.696680,34.868700,128.706900,1179,4.72
1dock-s-no-3,1dock,e4-p-no-1,E4,도장공장,34.875190,128.696680,34.877900,128.719500,2103.5,8.41
1dock-s-no-3,1dock,e4-p-no-2,E4,도장공장,34.875190,128.696680,34.878200,128.720000,2153.6,8.61
1dock-s-no-3,1dock,e4-p-no-3,E4,도장공장,34.875190,128.696680,34.879200,128.721000,2263,9.05
1dock-s-no-3,1dock,e4-p-no-4,E4,도장공장,34.875190,128.696680,34.879400,128.719800,2160.5,8.64
1dock-s-no-3,1dock,e4-p-no-5,E4,도장공장,34.875190,128.696680,34.879100,128.718700,2055.3,8.22
1dock-s-no-3,1dock,e4-p-no-6,E4,도장공장,34.875190,128.696680,34.879500,128.719300,2118.5,8.47
1dock-s-no-3,1dock,e4-p-no-7,E4,도장공장,34.875190,128.696680,34.879800,128.719900,2179.4,8.72
1dock-s-no-3,1dock,e4-p-no-8,E4,도장공장,34.875190,128.696680,34.880300,128.720700,2263.7,9.05
1dock-s-no-3,1dock,e4-p-no-9,E4,도장공장,34.875190,128.696680,34.880300,128.718500,2070.1,8.28
1dock-s-no-3,1dock,e4-f-no-1,E4,의장공장,34.875190,128.696680,34.874400,128.719000,2038.1,8.15
1dock-s-no-3,1dock,e4-f-no-2,E4,의장공장,34.875190,128.696680,34.874500,128.719200,2055.9,8.22
1dock-s-no-3,1dock,e4-f-no-3,E4,의장공장,34.875190,128.696680,34.874700,128.719200,2055.2,8.22
1dock-s-no-3,1dock,e4-f-no-4,E4,의장공장,34.875190,128.696680,34.874800,128.719200,2054.9,8.22
1dock-s-no-3,1dock,e4-f-no-5,E4,의장공장,34.875190,128.696680,34.875200,128.719500,2081.8,8.33
1dock-s-no-4,1dock,1dock-P-no-1,1dock,도장공장,34.873300,128.694800,34.869100,128.693200,489.3,1.96
1dock-s-no-4,1dock,1dock-P-no-2,1dock,도장공장,34.873300,128.694800,34.870500,128.693100,347.8,1.39
1dock-s-no-4,1dock,1dock-P-no-3,1dock,도장공장,34.873300,128.694800,34.871100,128.692400,328.3,1.31
1dock-s-no-4,1dock,1dock-P-no-4,1dock,도장공장,34.873300,128.694800,34.872100,128.694800,133.4,0.53
1dock-s-no-4,1dock,1dock-P-no-5,1dock,도장공장,34.873300,128.694800,34.872900,128.695400,70.5,0.28
1dock-s-no-4,1dock,1dock-P-no-6,1dock,도장공장,34.873300,128.694800,34.871800,128.692800,247.2,0.99
1dock-s-no-4,1dock,1dock-P-no-7,1dock,도장공장,34.873300,128.694800,34.873500,128.694400,42.7,0.17
1dock-s-no-4,1dock,1dock-f-no-1,1dock,의장공장,34.873300,128.694800,34.876350,128.702080,745.7,2.98
1dock-s-no-4,1dock,2dock-f-no-1,1dock,의장공장,34.873300,128.694800,34.875200,128.701000,603.8,2.42
1dock-s-no-4,1dock,2dock-f-no-2,1dock,의장공장,34.873300,128.694800,34.876400,128.702300,766.1,3.06
1dock-s-no-4,1dock,2dock-P-no-1,2dock,도장공장,34.873300,128.694800,34.873900,128.705400,969.3,3.88
1dock-s-no-4,1dock,2dock-P-no-2,2dock,도장공장,34.873300,128.694800,34.874300,128.703700,819.5,3.28
1dock-s-no-4,1dock,2dock-P-no-3,2dock,도장공장,34.873300,128.694800,34.875200,128.704600,918.6,3.67
1dock-s-no-4,1dock,2dock-P-no-4,2dock,도장공장,34.873300,128.694800,34.875800,128.705300,997.4,3.99
1dock-s-no-4,1dock,2dock-P-no-5,2dock,도장공장,34.873300,128.694800,34.875400,128.706300,1074.8,4.3
1dock-s-no-4,1dock,wharf-f-no-1,내업/하역안벽 권역,의장공장,34.873300,128.694800,34.869100,128.697000,508.3,2.03
1dock-s-no-4,1dock,wharf-f-no-2,내업/하역안벽 권역,의장공장,34.873300,128.694800,34.870600,128.696800,351.3,1.41
1dock-s-no-4,1dock,wharf-f-no-3,내업/하역안벽 권역,의장공장,34.873300,128.694800,34.870400,128.697600,411.4,1.65
1dock-s-no-4,1dock,wharf-f-no-4,내업/하역안벽 권역,의장공장,34.873300,128.694800,34.870700,128.697800,398.1,1.59
1dock-s-no-4,1dock,wharf-f-no-5,내업/하역안벽 권역,의장공장,34.873300,128.694800,34.871700,128.704300,884.7,3.54
1dock-s-no-4,1dock,texaco-f-no-1,GBS/Texaco/E1 권역,의장공장,34.873300,128.694800,34.863100,128.706900,1582.7,6.33
1dock-s-no-4,1dock,texaco-f-no-2,GBS/Texaco/E1 권역,의장공장,34.873300,128.694800,34.863600,128.707100,1556.4,6.23
1dock-s-no-4,1dock,texaco-f-no-3,GBS/Texaco/E1 권역,의장공장,34.873300,128.694800,34.868800,128.706900,1212,4.85
1dock-s-no-4,1dock,texaco-p-no-1,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.862700,128.708300,1704.7,6.82
1dock-s-no-4,1dock,texaco-p-no-2,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.862500,128.708700,1746.5,6.99
1dock-s-no-4,1dock,texaco-p-no-3,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.864200,128.708300,1593.9,6.38
1dock-s-no-4,1dock,texaco-p-no-4,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.863300,128.709900,1770.3,7.08
1dock-s-no-4,1dock,texaco-p-no-5,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.866500,128.706900,1338,5.35
1dock-s-no-4,1dock,texaco-p-no-6,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.865700,128.708100,1478.6,5.91
1dock-s-no-4,1dock,texaco-p-no-7,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.866900,128.708100,1406.6,5.63
1dock-s-no-4,1dock,texaco-p-no-8,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.866400,128.708700,1482.1,5.93
1dock-s-no-4,1dock,texaco-p-no-9,GBS/Texaco/E1 권역,도장공장,34.873300,128.694800,34.868700,128.706900,1216.6,4.87
1dock-s-no-4,1dock,e4-p-no-1,E4,도장공장,34.873300,128.694800,34.877900,128.719500,2310.6,9.24
1dock-s-no-4,1dock,e4-p-no-2,E4,도장공장,34.873300,128.694800,34.878200,128.720000,2362.6,9.45
1dock-s-no-4,1dock,e4-p-no-3,E4,도장공장,34.873300,128.694800,34.879200,128.721000,2478.5,9.91
1dock-s-no-4,1dock,e4-p-no-4,E4,도장공장,34.873300,128.694800,34.879400,128.719800,2379.4,9.52
1dock-s-no-4,1dock,e4-p-no-5,E4,도장공장,34.873300,128.694800,34.879100,128.718700,2273.7,9.09
1dock-s-no-4,1dock,e4-p-no-6,E4,도장공장,34.873300,128.694800,34.879500,128.719300,2339,9.36
1dock-s-no-4,1dock,e4-p-no-7,E4,도장공장,34.873300,128.694800,34.879800,128.719900,2401.2,9.6
1dock-s-no-4,1dock,e4-p-no-8,E4,도장공장,34.873300,128.694800,34.880300,128.720700,2487.7,9.95
1dock-s-no-4,1dock,e4-p-no-9,E4,도장공장,34.873300,128.694800,34.880300,128.718500,2297.9,9.19
1dock-s-no-4,1dock,e4-f-no-1,E4,의장공장,34.873300,128.694800,34.874400,128.719000,2211.1,8.84
1dock-s-no-4,1dock,e4-f-no-2,E4,의장공장,34.873300,128.694800,34.874500,128.719200,2229.9,8.92
1dock-s-no-4,1dock,e4-f-no-3,E4,의장공장,34.873300,128.694800,34.874700,128.719200,2231.4,8.93
1dock-s-no-4,1dock,e4-f-no-4,E4,의장공장,34.873300,128.694800,34.874800,128.719200,2232.2,8.93
1dock-s-no-4,1dock,e4-f-no-5,E4,의장공장,34.873300,128.694800,34.875200,128.719500,2263.2,9.05
2dock-s-no-1,2dock,1dock-P-no-1,1dock,도장공장,34.873000,128.702100,34.869100,128.693200,920.5,3.68
2dock-s-no-1,2dock,1dock-P-no-2,1dock,도장공장,34.873000,128.702100,34.870500,128.693100,866.8,3.47
2dock-s-no-1,2dock,1dock-P-no-3,1dock,도장공장,34.873000,128.702100,34.871100,128.692400,909.8,3.64
2dock-s-no-1,2dock,1dock-P-no-4,1dock,도장공장,34.873000,128.702100,34.872100,128.694800,673.4,2.69
2dock-s-no-1,2dock,1dock-P-no-5,1dock,도장공장,34.873000,128.702100,34.872900,128.695400,611.3,2.45
2dock-s-no-1,2dock,1dock-P-no-6,1dock,도장공장,34.873000,128.702100,34.871800,128.692800,858.8,3.44
2dock-s-no-1,2dock,1dock-P-no-7,1dock,도장공장,34.873000,128.702100,34.873500,128.694400,704.6,2.82
2dock-s-no-1,2dock,1dock-f-no-1,1dock,의장공장,34.873000,128.702100,34.876350,128.702080,372.5,1.49
2dock-s-no-1,2dock,2dock-f-no-1,1dock,의장공장,34.873000,128.702100,34.875200,128.701000,264.4,1.06
2dock-s-no-1,2dock,2dock-f-no-2,1dock,의장공장,34.873000,128.702100,34.876400,128.702300,378.5,1.51
2dock-s-no-1,2dock,2dock-P-no-1,2dock,도장공장,34.873000,128.702100,34.873900,128.705400,317.2,1.27
2dock-s-no-1,2dock,2dock-P-no-2,2dock,도장공장,34.873000,128.702100,34.874300,128.703700,205.4,0.82
2dock-s-no-1,2dock,2dock-P-no-3,2dock,도장공장,34.873000,128.702100,34.875200,128.704600,334.5,1.34
2dock-s-no-1,2dock,2dock-P-no-4,2dock,도장공장,34.873000,128.702100,34.875800,128.705300,426.8,1.71
2dock-s-no-1,2dock,2dock-P-no-5,2dock,도장공장,34.873000,128.702100,34.875400,128.706300,466.9,1.87
2dock-s-no-1,2dock,wharf-f-no-1,내업/하역안벽 권역,의장공장,34.873000,128.702100,34.869100,128.697000,636,2.54
2dock-s-no-1,2dock,wharf-f-no-2,내업/하역안벽 권역,의장공장,34.873000,128.702100,34.870600,128.696800,552.3,2.21
2dock-s-no-1,2dock,wharf-f-no-3,내업/하역안벽 권역,의장공장,34.873000,128.702100,34.870400,128.697600,502.1,2.01
2dock-s-no-1,2dock,wharf-f-no-4,내업/하역안벽 권역,의장공장,34.873000,128.702100,34.870700,128.697800,468.3,1.87
2dock-s-no-1,2dock,wharf-f-no-5,내업/하역안벽 권역,의장공장,34.873000,128.702100,34.871700,128.704300,247.3,0.99
2dock-s-no-1,2dock,texaco-f-no-1,GBS/Texaco/E1 권역,의장공장,34.873000,128.702100,34.863100,128.706900,1184.7,4.74
2dock-s-no-1,2dock,texaco-f-no-2,GBS/Texaco/E1 권역,의장공장,34.873000,128.702100,34.863600,128.707100,1140.4,4.56
2dock-s-no-1,2dock,texaco-f-no-3,GBS/Texaco/E1 권역,의장공장,34.873000,128.702100,34.868800,128.706900,640.2,2.56
2dock-s-no-1,2dock,texaco-p-no-1,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.862700,128.708300,1277.4,5.11
2dock-s-no-1,2dock,texaco-p-no-2,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.862500,128.708700,1313.7,5.25
2dock-s-no-1,2dock,texaco-p-no-3,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.864200,128.708300,1130.2,4.52
2dock-s-no-1,2dock,texaco-p-no-4,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.863300,128.709900,1292.2,5.17
2dock-s-no-1,2dock,texaco-p-no-5,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.866500,128.706900,845.1,3.38
2dock-s-no-1,2dock,texaco-p-no-6,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.865700,128.708100,979,3.92
2dock-s-no-1,2dock,texaco-p-no-7,GBS/Texaco/E1 권역,도장공장,34.873000,128.702100,34.866900,128.708100,871.6,3.49
