road_id,from_node,to_node,from_lat,from_lon,to_lat,to_lon,l2_distance_m,road_distance_m,road_class,speed_kmh,travel_time_min,is_bidirectional
R0037,2dock-P-no-3,2dock-P-no-5,34.875200,128.704600,34.875400,128.706300,156.7,188.7,internal_lane,12,0.94,true
R0038,2dock-P-no-3,2dock-s-no-4,34.875200,128.704600,34.876500,128.707000,262.4,301.7,connector,18,1.01,true
R0039,2dock-P-no-4,2dock-P-no-5,34.875800,128.705300,34.875400,128.706300,101.5,129.3,internal_lane,12,0.65,true
R0040,2dock-P-no-4,2dock-s-no-4,34.875800,128.705300,34.876500,128.707000,173.5,204.4,internal_lane,12,1.02,true
R0041,2dock-P-no-5,2dock-s-no-4,34.875400,128.706300,34.876500,128.707000,138,154.1,internal_lane,12,0.77,true
R0042,2dock-s-no-1,2dock-s-no-2,34.873000,128.702100,34.873100,128.704000,173.7,212.4,internal_lane,12,1.06,true
R0043,2dock-s-no-1,2dock-s-no-3,34.873000,128.702100,34.872500,128.704000,182,222.7,internal_lane,12,1.11,true
R0044,2dock-s-no-2,2dock-s-no-3,34.873100,128.704000,34.872500,128.704000,66.7,74.5,internal_lane,12,0.37,true
R0045,2dock-s-no-2,wharf-f-no-5,34.873100,128.704000,34.871700,128.704300,158.1,179.7,internal_lane,12,0.9,true
R0046,2dock-s-no-2,wharf-s-no-1,34.873100,128.704000,34.871700,128.704800,171.9,222.1,internal_lane,12,1.11,true
R0047,2dock-s-no-3,wharf-f-no-5,34.872500,128.704000,34.871700,128.704300,93.1,107.3,internal_lane,12,0.54,true
R0048,2dock-s-no-3,wharf-s-no-1,34.872500,128.704000,34.871700,128.704800,115.1,132.2,internal_lane,12,0.66,true
R0049,e4-f-no-1,e4-f-no-2,34.874400,128.719000,34.874500,128.719200,21.4,24.6,internal_lane,12,0.12,true
R0050,e4-f-no-1,e4-f-no-3,34.874400,128.719000,34.874700,128.719200,38,43.8,internal_lane,12,0.22,true
R0051,e4-f-no-1,e4-f-no-4,34.874400,128.719000,34.874800,128.719200,48.1,55.4,internal_lane,12,0.28,true
R0052,e4-f-no-2,e4-f-no-3,34.874500,128.719200,34.874700,128.719200,22.2,27.5,internal_lane,12,0.14,true
R0053,e4-f-no-2,e4-f-no-4,34.874500,128.719200,34.874800,128.719200,33.4,41.4,internal_lane,12,0.21,true
R0054,e4-f-no-2,e4-f-no-5,34.874500,128.719200,34.875200,128.719500,82.5,102.3,internal_lane,12,0.51,true
R0055,e4-f-no-3,e4-f-no-4,34.874700,128.719200,34.874800,128.719200,11.1,12.2,internal_lane,12,0.06,true
R0056,e4-f-no-3,e4-f-no-5,34.874700,128.719200,34.875200,128.719500,62,68.3,internal_lane,12,0.34,true
R0057,e4-f-no-4,e4-f-no-5,34.874800,128.719200,34.875200,128.719500,52.2,66.5,internal_lane,12,0.33,true
R0058,e4-f-no-5,e4-s-no-3,34.875200,128.719500,34.877300,128.719500,233.5,297.2,connector,18,0.99,true
R0059,e4-p-no-1,e4-p-no-2,34.877900,128.719500,34.878200,128.720000,56.5,63.2,internal_lane,12,0.32,true
R0060,e4-p-no-1,e4-p-no-5,34.877900,128.719500,34.879100,128.718700,152.1,169.4,internal_lane,12,0.85,true
R0061,e4-p-no-1,e4-s-no-3,34.877900,128.719500,34.877300,128.719500,66.7,75.6,internal_lane,12,0.38,true
R0062,e4-p-no-2,e4-p-no-4,34.878200,128.720000,34.879400,128.719800,134.7,158.3,internal_lane,12,0.79,true
R0063,e4-p-no-2,e4-s-no-3,34.878200,128.720000,34.877300,128.719500,110,119.8,internal_lane,12,0.6,true
R0064,e4-p-no-3,e4-p-no-4,34.879200,128.721000,34.879400,128.719800,111.7,131.9,internal_lane,12,0.66,true
R0065,e4-p-no-3,e4-p-no-7,34.879200,128.721000,34.879800,128.719900,120.5,142.1,internal_lane,12,0.71,true
R0066,e4-p-no-3,e4-p-no-8,34.879200,128.721000,34.880300,128.720700,125.3,146.5,internal_lane,12,0.73,true
R0067,e4-p-no-4,e4-p-no-5,34.879400,128.719800,34.879100,128.718700,105.7,122.8,internal_lane,12,0.61,true
R0068,e4-p-no-4,e4-p-no-6,34.879400,128.719800,34.879500,128.719300,46.9,54.6,internal_lane,12,0.27,true
R0069,e4-p-no-4,e4-p-no-7,34.879400,128.719800,34.879800,128.719900,45.4,52.8,internal_lane,12,0.26,true
R0070,e4-p-no-5,e4-p-no-6,34.879100,128.718700,34.879500,128.719300,70.5,75.9,internal_lane,12,0.38,true
R0071,e4-p-no-5,e4-p-no-9,34.879100,128.718700,34.880300,128.718500,134.7,143.3,internal_lane,12,0.72,true
R0072,e4-p-no-5,e4-s-no-1,34.879100,128.718700,34.879000,128.717600,101,125.3,internal_lane,12,0.63,true
R0073,e4-p-no-5,e4-s-no-3,34.879100,128.718700,34.877300,128.719500,213,264.7,connector,18,0.88,true
R0074,e4-p-no-6,e4-p-no-7,34.879500,128.719300,34.879800,128.719900,64.1,77.9,internal_lane,12,0.39,true
R0075,e4-p-no-6,e4-p-no-9,34.879500,128.719300,34.880300,128.718500,115.1,139.6,internal_lane,12,0.7,true
R0076,e4-p-no-6,e4-s-no-1,34.879500,128.719300,34.879000,128.717600,164.8,179.4,internal_lane,12,0.9,true
R0077,e4-p-no-7,e4-p-no-8,34.879800,128.719900,34.880300,128.720700,91.7,114.7,internal_lane,12,0.57,true
R0078,e4-p-no-7,e4-s-no-2,34.879800,128.719900,34.880700,128.719800,100.5,119.6,internal_lane,12,0.6,true
R0079,e4-p-no-8,e4-s-no-2,34.880300,128.720700,34.880700,128.719800,93.4,121.2,internal_lane,12,0.61,true
R0080,e4-p-no-8,e4-s-no-4,34.880300,128.720700,34.881300,128.724300,346.7,450.6,connector,18,1.5,true
R0081,e4-p-no-8,e4-s-no-5,34.880300,128.720700,34.881800,128.725200,443.1,469.9,connector,18,1.57,true
R0082,e4-p-no-8,e4-s-no-6,34.880300,128.720700,34.884200,128.725200,597.2,633.8,connector,18,2.11,true
R0083,e4-p-no-9,e4-s-no-1,34.880300,128.718500,34.879000,128.717600,166.2,212.1,internal_lane,12,1.06,true
R0084,e4-p-no-9,e4-s-no-2,34.880300,128.718500,34.880700,128.719800,126.7,161.9,internal_lane,12,0.81,true
R0085,e4-s-no-4,e4-s-no-5,34.881300,128.724300,34.881800,128.725200,99.2,128,internal_lane,12,0.64,true
R0086,e4-s-no-4,e4-s-no-6,34.881300,128.724300,34.884200,128.725200,332.8,430.6,connector,18,1.44,true
R0087,e4-s-no-5,e4-s-no-6,34.881800,128.725200,34.884200,128.725200,266.9,345.6,connector,18,1.15,true
R0088,texaco-f-no-1,texaco-f-no-2,34.863100,128.706900,34.863600,128.707100,58.5,73.3,internal_lane,12,0.37,true
R0089,texaco-f-no-1,texaco-p-no-1,34.863100,128.706900,34.862700,128.708300,135.2,160,internal_lane,12,0.8,true
R0090,texaco-f-no-1,texaco-p-no-2,34.863100,128.706900,34.862500,128.708700,177.2,209.2,internal_lane,12,1.05,true
R0091,texaco-f-no-1,texaco-p-no-3,34.863100,128.706900,34.864200,128.708300,176.8,208.9,internal_lane,12,1.04,true
R0092,texaco-f-no-2,texaco-p-no-1,34.863600,128.707100,34.862700,128.708300,148.3,190.9,internal_lane,12,0.95,true
R0093,texaco-f-no-2,texaco-p-no-3,34.863600,128.707100,34.864200,128.708300,128.2,165.3,internal_lane,12,0.83,true
R0094,texaco-f-no-3,texaco-p-no-9,34.868800,128.706900,34.868700,128.706900,11.1,11.9,internal_lane,12,0.06,true
R0095,texaco-f-no-3,texaco-s-no-1,34.868800,128.706900,34.867900,128.706800,100.5,126.3,internal_lane,12,0.63,true
R0096,texaco-f-no-3,texaco-s-no-3,34.868800,128.706900,34.869000,128.708600,156.7,197.2,internal_lane,12,0.99,true
R0097,texaco-p-no-1,texaco-p-no-2,34.862700,128.708300,34.862500,128.708700,42.7,51.2,internal_lane,12,0.26,true
R0098,texaco-p-no-1,texaco-p-no-3,34.862700,128.708300,34.864200,128.708300,166.8,199.9,internal_lane,12,1,true
R0099,texaco-p-no-1,texaco-p-no-4,34.862700,128.708300,34.863300,128.709900,160.5,192.5,internal_lane,12,0.96,true
R0100,texaco-p-no-2,texaco-p-no-4,34.862500,128.708700,34.863300,128.709900,141.1,177.2,internal_lane,12,0.89,true
R0101,texaco-p-no-5,texaco-p-no-6,34.866500,128.706900,34.865700,128.708100,141.1,162.6,internal_lane,12,0.81,true
R0102,texaco-p-no-5,texaco-p-no-7,34.866500,128.706900,34.866900,128.708100,118.2,136.4,internal_lane,12,0.68,true
R0103,texaco-p-no-5,texaco-p-no-8,34.866500,128.706900,34.866400,128.708700,164.6,191.3,internal_lane,12,0.96,true
R0104,texaco-p-no-6,texaco-p-no-7,34.865700,128.708100,34.866900,128.708100,133.4,145.4,internal_lane,12,0.73,true
R0105,texaco-p-no-6,texaco-p-no-8,34.865700,128.708100,34.866400,128.708700,95.2,103.6,internal_lane,12,0.52,true
R0106,texaco-p-no-7,texaco-p-no-8,34.866900,128.708100,34.866400,128.708700,78,98,internal_lane,12,0.49,true
R0107,texaco-s-no-1,texaco-p-no-5,34.867900,128.706800,34.866500,128.706900,155.9,195.2,internal_lane,12,0.98,true
R0108,texaco-s-no-1,texaco-p-no-9,34.867900,128.706800,34.868700,128.706900,89.4,111.6,internal_lane,12,0.56,true
R0109,texaco-s-no-2,texaco-s-no-3,34.868500,128.709600,34.869000,128.708600,106.8,128.8,internal_lane,12,0.64,true
R0110,texaco-s-no-2,texaco-s-no-4,34.868500,128.709600,34.869000,128.711700,199.5,240.3,internal_lane,12,1.2,true
R0111,texaco-s-no-2,texaco-s-no-5,34.868500,128.709600,34.868300,128.712000,220.1,264.9,connector,18,0.88,true
R0112,texaco-s-no-3,texaco-p-no-9,34.869000,128.708600,34.868700,128.706900,158.6,184.2,internal_lane,12,0.92,true
R0113,texaco-s-no-3,texaco-s-no-4,34.869000,128.708600,34.869000,128.711700,282.8,360.3,connector,18,1.2,true
R0114,texaco-s-no-3,texaco-s-no-5,34.869000,128.708600,34.868300,128.712000,319.8,407.7,connector,18,1.36,true
R0115,texaco-s-no-4,e4-f-no-1,34.869000,128.711700,34.874400,128.719000,896.7,982,arterial,24,2.45,true
R0116,texaco-s-no-4,texaco-s-no-5,34.869000,128.711700,34.868300,128.712000,82.5,105.6,internal_lane,12,0.53,true
R0117,texaco-s-no-6,texaco-p-no-3,34.864500,128.708700,34.864200,128.708300,49.4,60.2,internal_lane,12,0.3,true
R0118,texaco-s-no-6,texaco-p-no-4,34.864500,128.708700,34.863300,128.709900,172.6,211,internal_lane,12,1.06,true
R0119,texaco-s-no-6,texaco-p-no-6,34.864500,128.708700,34.865700,128.708100,144.2,176.1,internal_lane,12,0.88,true
R0120,wharf-f-no-1,wharf-f-no-2,34.869100,128.697000,34.870600,128.696800,167.8,213.6,internal_lane,12,1.07,true
R0121,wharf-f-no-1,wharf-f-no-3,34.869100,128.697000,34.870400,128.697600,154.6,196.9,internal_lane,12,0.98,true
R0122,wharf-f-no-1,wharf-f-no-4,34.869100,128.697000,34.870700,128.697800,192.3,245.9,internal_lane,12,1.23,true
R0123,wharf-f-no-2,wharf-f-no-3,34.870600,128.696800,34.870400,128.697600,76.3,90.7,internal_lane,12,0.45,true
R0124,wharf-f-no-2,wharf-f-no-4,34.870600,128.696800,34.870700,128.697800,91.9,109.2,internal_lane,12,0.55,true
R0125,wharf-f-no-3,wharf-f-no-4,34.870400,128.697600,34.870700,128.697800,38,41.5,internal_lane,12,0.21,true
R0126,wharf-f-no-5,wharf-s-no-1,34.871700,128.704300,34.871700,128.704800,45.6,53.1,internal_lane,12,0.27,true
R0127,wharf-s-no-1,texaco-f-no-3,34.871700,128.704800,34.868800,128.706900,375.1,428.7,connector,18,1.43,true
